"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "HTML", "SCSS", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\deep-iterator.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\es6-shim.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 9, 0, 11
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\htmlparser.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 21, 2, 24
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\innersvg.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 8, 0, 9
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\lit-html.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\prism.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 44, 0, 2, 1, 47
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\promise.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\svg-pan-zoom.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 3
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\tablesort.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\tablesort.number.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\vis.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 24, 0, 46
